idx,sentence,label,fp32_pred,int8_pred,fp32_correct,int8_correct,flipped,fp32_logit_0,fp32_logit_1,int8_logit_0,int8_logit_1,fp32_margin,int8_margin,abs_logit0_diff,abs_logit1_diff
0,it 's a charming and often affecting journey . ,1,1,1,True,True,False,-2.8225584030151367,2.6465182304382324,-2.7176947593688965,2.5948708057403564,5.469076633453369,5.312565565109253,0.10486364364624023,0.05164742469787598
1,unflinchingly bleak and desperate ,0,0,0,True,True,False,0.9449018836021423,-0.9612433910369873,1.1702158451080322,-1.104234218597412,1.9061452746391296,2.2744500637054443,0.2253139615058899,0.1429908275604248
2,allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ,1,1,1,True,True,False,-2.3611273765563965,2.293992042541504,-2.1271703243255615,2.085435390472412,4.6551194190979,4.212605714797974,0.23395705223083496,0.2085566520690918
3,"the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . ",1,1,1,True,True,False,-2.0919790267944336,2.0390098094940186,-1.95087468624115,1.9187222719192505,4.130988836288452,3.8695969581604004,0.1411043405532837,0.12028753757476807
4,"it 's slow -- very , very slow . ",0,0,0,True,True,False,2.3064754009246826,-2.1191718578338623,2.105738401412964,-1.920034408569336,4.425647258758545,4.0257728099823,0.20073699951171875,0.19913744926452637
5,"although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . ",1,1,1,True,True,False,-2.692023754119873,2.5058882236480713,-2.4496331214904785,2.3153936862945557,5.197911977767944,4.765026807785034,0.24239063262939453,0.19049453735351562
6,a sometimes tedious film . ,0,0,0,True,True,False,2.3986706733703613,-2.1854329109191895,2.2303781509399414,-2.0469934940338135,4.584103584289551,4.277371644973755,0.16829252243041992,0.13843941688537598
7,or doing last year 's taxes with your ex-wife . ,0,0,0,True,True,False,1.0163286924362183,-0.9395639300346375,0.9211971759796143,-0.8343133926391602,1.9558926224708557,1.7555105686187744,0.095131516456604,0.1052505373954773
8,you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ,1,1,1,True,True,False,-1.1906496286392212,1.0705015659332275,-0.9446389079093933,0.7970209717750549,2.2611511945724487,1.7416598796844482,0.24601072072982788,0.2734805941581726
9,"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ",0,0,0,True,True,False,1.6092827320098877,-1.6350938081741333,0.6976891160011292,-0.810308575630188,3.244376540184021,1.5079976916313171,0.9115936160087585,0.8247852325439453
10,the mesmerizing performances of the leads keep the film grounded and keep the audience riveted . ,1,1,1,True,True,False,-2.639286994934082,2.487260341644287,-2.338984251022339,2.241323947906494,5.126547336578369,4.580308198928833,0.30030274391174316,0.24593639373779297
11,"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",0,0,0,True,True,False,2.1347873210906982,-1.9437142610549927,1.2436363697052002,-1.1190030574798584,4.078501582145691,2.3626394271850586,0.891150951385498,0.8247112035751343
12,... the film suffers from a lack of humor ( something needed to balance out the violence ) ... ,0,0,0,True,True,False,1.6974798440933228,-1.5963194370269775,1.119380235671997,-1.041197419166565,3.2937992811203003,2.160577654838562,0.5780996084213257,0.5551220178604126
13,"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ",1,1,1,True,True,False,-0.24057932198047638,-0.0019017988815903664,-0.24999025464057922,0.11244408041238785,0.238677523098886,0.36243433505296707,0.009410932660102844,0.11434587929397821
14,even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ,0,0,0,True,True,False,2.4615657329559326,-2.148547887802124,1.2618860006332397,-1.1324374675750732,4.610113620758057,2.394323468208313,1.1996797323226929,1.0161104202270508
